id,e-search,e-entry,t-entry,e-cat,t-related,e-syn,e-ant
28,abatis,abatis,แนวต้นไม้ที่ถูกโค่นสำหรับเป็นแนวป้องกัน,N,,,
29,abattoir,abattoir,โรงฆ่าสัตว์,N,,slaughterhouse,
30,abbacy,abbacy,อำนาจของอธิการในวัดวาอาราม,N,,,
31,abbess,abbess,บาทหลวงหญิง,N,หัวหน้าสำนักแม่ชี,,
32,abbey,abbey,วัด,N,สำนักสงฆ์,,
33,abbot,abbot,เจ้าอาวาส,N,"เจ้าอาราม, เจ้าวัด",archimandrite,
34,abbreviate,abbreviate,ทำให้สั้นลง,VT,"ลดลง, ตัดทอน",abridge; foreshorten; shorten; cut; contract; reduce,
35,abbreviate,abbreviate,ย่อความ,VT,,,
36,abbreviated,abbreviated,ไม่พอเพียง,ADJ,,,
37,abbreviated,abbreviated,สั้น,ADJ,,short,
38,abbreviated,abbreviated,หายาก,ADJ,,,
39,abbreviation,abbreviation,การย่อ,N,การตัดทอน,shortening; brief,
40,abbreviation,abbreviation,อักษรย่อ,N,"คำย่อ, ตัวย่อ, ชื่อย่อ",acronym; initialism,
41,abdicate,abdicate,ทำให้สละราชสมบัติ,VT,"ทำให้สละราชบัลลังก์, ทำให้สละอำนาจ, ทำให้ถอนตัว(จากอำนาจ, ตำแหน่ง, สิทธิ์)",,
42,abdicate,abdicate,ละเลยหน้าที่,"VT, VI",,abandon; surrender,
43,abdicate,abdicate,สละราชสมบัติ,VI,"สละราชบัลลังก์, สละอำนาจ, ถอนตัว(จากอำนาจ, ตำแหน่ง, สิทธิ์)",renounce; relinguish,
44,abdication,abdication,การสละราชสมบัติ,N,,stepping down,
45,abdomen,abdomen,ท้อง,N,"พุง, ช่องท้อง",venter; stomach; belly,
46,abdominal,abdominal,เกี่ยวกับท้อง,ADJ,ตรงช่องท้อง,ventral,
47,abducent,abducent,ซึ่งดึงออก,ADJ,,,
48,abduct,abduct,ลักพาตัว,VT,ฉุดคร่า,kidnap; nobble; snatch,
49,abduction,abduction,การลักพาตัว,N,,kinnapping; capture,
50,abeam,abeam,ซึ่งเป็นมุมฉากกับแนวหน้าและหลัง,ADV,,,
51,abed,abed,บนเตียง,ADV,,,
52,aberrant,aberrant,ซึ่งเบี่ยงเบนจากปกติ,ADJ,,,
53,aberration,aberration,การเบี่ยงเบนจากปกติ,N,ความผิดปกติ,deviant; anomalous,
54,abet,abet,ให้กำลังใจ,VT,กระตุ้นความรู้สึกให้ดีขึ้น,incite; sanction,
55,abetment,abetment,การให้กำลังใจ,N,,encouragement,
56,abeyance,abeyance,การระงับไว้ชั่วคราว,N,การหยุดพักชั่วคราว,pause,
57,abhor,abhor,เกลียดชัง,VT,"เกลียด, ชิงชัง",loathe; abominate; execrate; hate,love; admire
58,abhorrence,abhorrence,ความชิงชัง,N,ความเกลียดชัง,execration; detestation,
59,abhorrence,abhorrence,ผู้ถูกเกลียดชัง,N,,,
60,abide,abide,ทน,VT,"ยอมทน, อดทน, ทนต่อ",endure; stand; tolerate,
61,abide,abide,รอคอย,VI,,,
62,abide,abide,อยู่,VI,"อาศัย, พักอาศัย, อาศัยอยู่",bide; stay; live,
63,abiding,abiding,ตลอดไป,ADJ,,,
64,ability,ability,ความสามารถ,N,"ความมีฝีมือ, ความมีทักษะ, สมรรถภาพ",capability; expertness,inability; unfitness
65,ability,ability,พรสวรรค์,N,ที่คงอยู่ตลอดไป,talent,inability
66,abiogenesis,abiogenesis,สมมติฐานที่ว่าสิ่งมีชีวิตเกิดขึ้นได้จากสิ่งไม่มีชีวิต,N,,,
67,abject,abject,ต่ำช้า,ADJ,เลวทราม,,
68,abject,abject,ถ่อมตัว,ADJ,,,
69,abject,abject,น่าสังเวช,ADJ,น่าสงสาร,debasing; degrading; miserable,
70,abjure,abjure,บอกเลิกอย่างเป็นทางการ,VT,สละ,repudiate; abrogate,
71,ablate,ablate,ระเหยไป,VT,,,
72,ablaut,ablaut,การเปลี่ยนแปลงเสียงสระของชุดคำ(เช่น sing  sang  sang),N,,,
73,ablaze,ablaze,ไหม้,ADJ,,blazing; aflame,
74,able,able,ที่มีความสามารถที่จะทำได้,ADJ,,capable,incompetent; inept
75,able,able,ที่มีทักษะดี,ADJ,"เก่ง, มีฝีมือ",capable,incompetent; inept
76,able-bodied,able-bodied,แข็งแรง,ADJ,,healthy; fit,
77,able-bodism,able-bodism,การกีดกันในเรื่องสภาพร่างกาย,N,,ableism,
78,ableism,ableism,การกีดกันในเรื่องสภาพร่างกาย,N,,able-bodism,
79,abloom,abloom,บาน,ADJ,,,
80,ablution,ablution,การชำระล้าง,N,,,
81,ably,ably,อย่างสามารถ,ADV,,skillfully,
82,abnegate,abnegate,ละทิ้ง,VT,ล้มเลิก,,
83,abnegation,abnegation,การละทิ้ง,N,การสละ,denial; self-denial; self-renunciation,
84,abnormal,abnormal,ผิดปกติ,ADJ,"ผิดธรรมดา, ผิดวิสัย, ผิดแปลก, แปลก",deviant; unnatural,
85,abnormality,abnormality,ความผิดปรกติ,N,สภาพผิดปกติ,aberration; peculiarity,
86,abnormally,abnormally,อย่างผิดปกติ,ADV,ผิดสังเกต,,
87,aboard,aboard,บนยานพาหนะ,ADV,,on board; en route,ashore; on land
88,aboard,aboard,บนยานพาหนะ,PREP,,,
89,abode,abode,บ้าน,N,"ที่พัก, ที่อยู่อาศัย",house; dwelling; residence,
90,abolish,abolish,เลิกล้ม,VT,"ล้มเลิก, ยกเลิก, ระงับ",abrogate; annul; rescind; establish,
91,abolishment,abolishment,การล้มเลิก,N,,,
92,abolition,abolition,การเลิก,N,การล้มเลิก,,
93,abolitionism,abolitionism,การเลิกทาส,N,,,
94,abolitionist,abolitionist,ผู้ที่เห็นด้วยกับการเลิกทาส,N,,,
95,A-bomb,A-bomb,ระเบิดปรมาณู,N,,atomic bomb; nuclear weapon,
96,abominable,abominable,เลวทรามต่ำช้า,ADJ,"น่าชัง, น่ารังเกียจ",hatful,
97,abominate,abominate,ชิงชัง,VT,"เกลียด, ชัง",abhor; execrate,like; love
98,abomination,abomination,ความชัง,N,ความชิงชัง,hatred; loathing; aversion,
99,abomination,abomination,สิ่งที่น่าเกลียดชัง,N,สิ่งที่เลวทราม,,
100,aboriginal,aboriginal,ที่อยู่มาดั้งเดิม,ADJ,ที่อยู่มาตั้งแต่แรก,indigenous; first,
101,aborigine,aborigine,ชนพื้นเมือง,N,คนพื้นเมือง,native,
102,Aborigine,Aborigine,ชนพื้นเมืองในทวีปออสเตรเลีย,N,ชนเผ่าอะบอริจิน,,
103,aborigines,aborigines,สัตว์หรือพืชพื้นเมือง,N,,,
104,abort,abort,ทำให้ล้มเหลว,VT,ไม่เป็นผล,miscarry; fall; miss,
105,abort,abort,แท้ง,VI,"แท้งลูก, แท้งบุตร",,
106,abort,abort,แท้ง,VT,,,
107,aborticide,aborticide,การทำแท้ง,N,,,
108,abortifacient,abortifacient,ที่ทำให้แท้ง,ADJ,,,
109,abortion,abortion,การทำแท้ง,N,การแท้งลูก,,
110,abortion,abortion,การยกเลิก,N,,,
111,abortion,abortion,ความล้มเหลว,N,"ความไม่สำเร็จ, ความไม่สามารถไปถึงจุดมุ่งหมาย",failure; disaster,
112,abortionist,abortionist,ผู้ทำแท้งอย่างผิดกฎหมาย,N,,,
113,abortive,abortive,ซึ่งไร้ผล,ADJ,ซึ่งไม่สำเร็จ,stillborn; unsuccessful,
114,abound,abound,มากมาย,VI,"ชุม, ชุก, ชุกชุม, หนาแน่น, ดาษดื่น, อุดม, อุดมสมบูรณ์",be plentiful; overflow,
115,about,about,เกี่ยวกับ,PREP,,regarding; concerning; with regard to,
116,about,about,ใกล้กับ,PREP,,,
117,about,about,ทั่วๆ,PREP,ในที่ต่างๆ,,
118,about,about,ทั่วๆ,ADV,ในที่ต่างๆ,,
119,about,about,ในทิศทางตรงข้าม,ADV,,,
120,about,about,ประมาณ,PREP,"ราว, ราวๆ",approximately; close to; just about,
121,about,about,แพร่หลาย,ADV,,,
122,about,about,รอบ,PREP,,,
123,above,above,ข้างบน,PREP,เหนือ,,
124,above,above,ดังกว่าเสียงอื่น,PREP,,,
125,above,above,ด้านเหนือ,PREP,ในทิศเหนือ,,
126,above,above,ดีเกินกว่า,PREP,,,
127,above,above,ที่มีอำนาจมากกว่า,ADV,,,
128,above,above,มากกว่า,PREP,,,
129,above,above,ยากเกินกว่า,PREP,,,
130,above,above,เหนือกว่า,ADV,สูงกว่า,overhead; up; higher,below
131,above,above,เหนือกว่า,PREP,สูงกว่า,over,
132,aboveboard,aboveboard,เปิดเผย,ADJ,,,
133,aboveboard,aboveboard,เปิดเผย,ADV,,candidly; openly; flankly,secretly; furtively
134,abracadabra,abracadabra,คาถา,N,,incantation; hocus-pocus,
135,abrade,abrade,ขัด,VT,ขัดถู,scrub; buff; burnish,
136,abrasion,abrasion,การถลอก,N,การสึก,,
137,abrasion,abrasion,รอยขีดข่วน,N,รอยถลอก,,
138,abrasive,abrasive,ซึ่งกัดกร่อน,ADJ,ซึ่งกัดเซาะ,,
139,abrasive,abrasive,ที่ทำให้โกรธ,ADJ,"ที่ทำให้รำคาญ, ที่ทำให้โมโห",irritating; grating,
140,abrasive,abrasive,สารขัด,N,ผงขัด,polisher; grinder,
141,abreast,abreast,เคียงข้าง,ADJ,,side by side; beside; alongside,
142,abreast,abreast,เคียงข้าง,ADV,เคียงบ่าเคียงไหล่,,
143,abridge,abridge,ตัดสิทธิ์,VT,ลดทอนสิทธิ์,,
144,abridge,abridge,ย่อ,VT,"ตัดทอน, ทำให้สั้นลง",shorter,
145,abridgement,abridgement,การย่อ,N,ย่อความ,reduction; abridgment,
146,abridgement,abridgement,ฉบับย่อ,N,,,
147,abridgment,abridgment,การย่อ,N,,reduction; abridgement,
148,abridgment,abridgment,ฉบับย่อ,N,,,
149,abroad,abroad,ในต่างประเทศ,ADV,"ในต่างชาติ, ในต่างแดน, ที่อยู่ในเมืองนอก",,
150,abroad,abroad,แพร่หลาย,ADV,"แพร่, แพร่กระจาย, กว้างขวาง",extensively; broadly; far and wide,
151,abrogate,abrogate,ยกเลิก,VT,เพิกถอน,abolish,
152,abrupt,abrupt,ชัน,ADJ,,,
153,abrupt,abrupt,ซึ่งขาดตอน,ADJ,ซึ่งไม่ติดต่อกัน,,
154,abrupt,abrupt,ทันทีทันใด,ADJ,ฉับพลัน,sudden; unespected,
155,abruptly,abruptly,อย่างทันที,ADV,"ฉับพลัน, อย่างปัจจุบันทันด่วน, ในทันที, กะทันหัน",suddenly; awiftly,
156,abscess,abscess,เป็นฝี,VI,,,
157,abscess,abscess,ฝี,N,,,
158,abscission,abscission,การตัดออก,N,,,
159,abscond,abscond,หลบหนี,VI,"หลบ, หนี, หลบๆซ่อนๆ",flee; cut and run; fly,
160,absence,absence,การขาด,N,การไม่อยู่,nonexistence; nonattendance,presence; attendance
161,absence,absence,การไม่มีตัวตน,N,,,
162,absence,absence,ช่วงเวลาที่ไม่อยู่,N,ระยะเวลาที่ไม่อยู่,,
163,absent,absent,ขาด,ADJ,ไม่มา,away; missing; gone; out,here; present
164,absent,absent,ซึ่งไม่ให้ความสนใจ,ADJ,,,
165,absent,absent,ทำให้ขาด,VT,ไม่เข้าร่วม,,
166,absent,absent,ปราศจาก,PREP,,,
167,absentee,absentee,ผู้ที่ไม่มา,N,"ผู้ที่ไม่เข้าร่วมประชุม, ผู้ขาดการประชุม",,
168,absent-minded,absent-minded,ใจลอย,ADJ,"ตกอยู่ในภวังค์, เคลิ้ม, เหม่อลอย",inattentive; absent; unmindful,attentive; observant
169,absinth,absinth,ต้นไม้สีเขียวชนิดหนึ่งที่มีรสขม,N,,absinthe,
170,absinthe,absinthe,ต้นไม้สีเขียวชนิดหนึ่งที่มีรสขม,N,,absinth,
171,absolute,absolute,กฎซึ่งเป็นจริงเสมอ,N,,,
172,absolute,absolute,เต็มที่ (ใช้ในการเน้น),ADJ,"สมบูรณ์, ทั้งหมด",perfect; complete; total,
173,absolute,absolute,แท้จริง,ADJ,แน่นอน,,
174,absolute,absolute,ไม่เจือปน,ADJ,เพียวๆ,,
175,absolute,absolute,ไม่มีขอบเขต,ADJ,ไม่จำกัด,unlimited,limited
176,absolutely,absolutely,อย่างแน่นอน,ADV,"อย่างสิ้นเชิง, อย่างแท้จริง, โดยสิ้นเชิง, อย่างแน่แท้",,
177,absolutely,absolutely,อย่างไม่มีเงื่อนไข,ADV,อย่างไม่มีข้อจำกัด,unquestionably; certainly,
178,absolution,absolution,การสวดอ้อนวอนให้อภัยโทษ,N,,,
179,absolution,absolution,การอภัยโทษ,N,"นิรโทษกรรม, การให้อภัยบาป",forgiveness,
180,absolutism,absolutism,ระบบเผด็จการทางการเมือง,N,,absolute monarchy; dictatorship,
181,absolve,absolve,ประกาศว่าพ้นผิด,VT,,acquit; exonerate,
182,absolve,absolve,อภัยโทษ,VT,"อภัยบาป, ให้อภัย",,
183,absorb,absorb,ดูดซึม,VT,"ซับ, ดูด, ดูดซับ, ซึมซับ",digest; suck up; suck in,eject; dispell; discharge
184,absorb,absorb,ทำให้หมกมุ่น,VT,"ทำให้สนใจ, ทำให้ง่วนอยู่กับ",engross; engage,
185,absorb,absorb,รวมเข้า,VT,รวมเข้ามา,,
186,absorb,absorb,รับรู้,VT,ซึมซับด้วยประสาทสัมผัส,,
187,absorb,absorb,รับเอา,VT,รับไว้,,
188,absorbed,absorbed,ที่หมกมุ่นกับ,ADJ,,engrossed; immersed,
189,absorbent,absorbent,ซึ่งไม่สะท้อน,ADJ,,,
190,absorbent,absorbent,ซึ่งอุ้มน้ำไว้,ADJ,ซึ่งสามารถดูดซึม,porous; spongy; permeable,impermeable
191,absorbing,absorbing,ที่ดึงดูดความสนใจ,ADJ,ที่น่าสนใจมาก,interesting; engrossing,
192,absorption,absorption,การดูดซึม,N,,digestion; osmosis,ejection; discharge
193,absorption,absorption,การไม่สะท้อนกลับ,N,,,
194,absorption,absorption,การรวมเข้าด้วยกัน,N,,,
195,absorption,absorption,การหมกมุ่น,N,,,
196,absorptive,absorptive,ที่สามารถดูดซับได้,ADJ,,absorbent; porous,impermeable; impervious
197,abstain,abstain,งดเว้น,VI,ละเว้น,refrain; forbear; avoid,
198,abstain,abstain,ไม่ลงคะแนนเสียง,VI,นอนหลับทับสิทธิ์,,
199,abstemious,abstemious,ตามอัตภาพ,ADJ,พอประมาณ,temperate; abstinent,
200,abstinence,abstinence,การบังคับใจตนเอง,N,,abstention; temperance; self-control,
201,abstract,abstract,ข้อสรุป,N,"ประเด็นสำคัญ, บทคัดย่อ",summary,
202,abstract,abstract,ความคิดในทางทฤษฎี,N,,,
203,abstract,abstract,คิดในเชิงทฤษฎี,VT,,,
204,abstract,abstract,ถอน,VT,ดึง,withdraw; separate; remove,
205,abstract,abstract,ทางทฤษฎี,ADJ,"ทางหลักวิชา, ทางหลักการ, ทางวิชาการ",theoretical,
206,abstract,abstract,ที่เป็นนามธรรม,ADJ,,ideal; conceptual,
207,abstract,abstract,ลอบเอามา,VT,"ขโมย, ล้วงเอา",steal,
208,abstract,abstract,สรุป,VT,,summarize; condense,
209,abstracted,abstracted,ใจลอย,ADJ,,absent-minded,
210,abstraction,abstraction,นามธรรม,N,,idea; concept,
211,abstruse,abstruse,ยากที่จะเข้าใจ,ADJ,,deep; recondite,
212,absurd,absurd,ไร้สาระ,ADJ,"ไร้ความหมาย, ที่ไม่เป็นเหตุเป็นผล",ridiculous; senseless,sensible; logical
213,absurdity,absurdity,ความไร้สาระ,N,"ความน่าขัน, ความไม่เป็นเหตุเป็นผล",nonsense; senselessness,
214,absurdly,absurdly,อย่างไร้สาระ,ADV,อย่างไม่เป็นเหตุเป็นผล,ridiculously; foolishly,
215,abundance,abundance,ความอุดมสมบูรณ์,N,"ความอุดม, ความสมบูรณ์, ความมากมาย",bounty; profusion,
216,abundant,abundant,มากมาย,ADJ,"ท่วมท้น, เหลือล้น, ล้นเหลือ, เต็มเปี่ยม, ล้นหลาม, เหลือเฟือ, เยอะแยะ, อุดมสมบูรณ์",ample; plentiful,
217,abundantly,abundantly,อย่างมาก,ADV,"อย่างมากมาย, อย่างท่วมท้น",plentifully; lavishly,
218,abuse,abuse,การข่มเหง,N,"การกระทำทารุณ, การปฏิบัติไม่ดีต่อ",mistreatment; harm; damage,help
219,abuse,abuse,การใช้ในทางที่ผิด,N,,misuse; ill-usage,
220,abuse,abuse,การสบประมาท,N,,,
221,abuse,abuse,ข่มเหง,VT,"รีดนาทาเร้น, ทรมาทรกรรม",,
222,abuse,abuse,ใช้ในทางที่ผิด,VT,,misuse,
223,abuse,abuse,สบประมาท,VT,"ดูถูก, ครหา, กล่าวร้าย, ประจาน, ผรุสวาท",revile; malign,
224,abusive,abusive,ซึ่งเป็นอันตราย,ADJ,,,
225,abusive,abusive,ซึ่งไม่ถูกต้อง,ADJ,,,
226,abusive,abusive,ซึ่งหมิ่นประมาท,ADJ,ซึ่งดูถูก,offensive; sharp-tongued,
227,abut,abut,ชิด,VT,"ติดกันกับ, จด",,
228,abut,abut,ชิด,VI,"ติดกัน, จด",adjoin; border on,
229,abutment,abutment,การติดกัน,N,,,
230,abutment,abutment,เครื่องรับน้ำหนัก,N,"เครื่องค้ำ, เครื่องยัน",,
231,abyss,abyss,นรก,N,ขุมนรก,,
232,abyss,abyss,สถานการณ์ที่เลวร้าย,N,,,
233,abyss,abyss,สิ่งที่ลึกมาก,N,,,
234,abyss,abyss,หุบเหวลึก,N,เหวลึก,chasm; depths,
235,AC,AC,กระแสไฟฟ้าแบบสลับ (ใช้ทางไฟฟ้า คำย่อของ alternating current),N,กระแสสลับ,,
236,academic,academic,ซึ่งมีลักษณะเป็นนักวิชาการ,ADJ,ซึ่งคงแก่เรียน,schoraly; scholastic,
237,academic,academic,ด้านวิชาการ,ADJ,ทางวิชาการ,,
238,academic,academic,ในทางทฤษฎี,ADJ,ซึ่งไม่เหมาะในทางปฏิบัติ,,
239,academic,academic,อาจารย์หรือนักศึกษามหาวิทยาลัย,N,,,
240,academic,academically,ด้านวิชาการ,ADV,,,
241,academician,academician,สมาชิกของสโมสร (ทางด้านต่างๆเช่น ศิลปะ วัฒนธรรม และวิทยาศาสตร์),N,,,
242,academy,academy,โรงเรียน,N,"สถานศึกษา, สถาบันการศึกษา, วิทยาลัย(เฉพาะด้าน)",,
243,academy,academy,สมาคมส่งเสริมความรู้หรือวัฒนธรรม,N,,,
244,acanthus,acanthus,ชื่อพืชใบเป็นหนามชนิดหนึ่ง,N,,,
245,accede,accede,ขึ้นครองอำนาจ,VI,ขึ้นครองราชย์,,
246,accede,accede,ลงนามในสนธิสัญญา,VI,,,
247,accede,accede,เห็นด้วย,VI,"ยินยอม, ยอมรับ",agree; consent,
248,accelerando,accelerando,ที่ค่อยๆเพิ่มจังหวะดนตรีให้เร็วขึ้น,ADJ,,,
249,accelerando,accelerando,อย่างค่อยๆเพิ่มจังหวัดดนตรีให้เร็วให้,ADV,,,
250,accelerant,accelerant,ตัวเร่ง,N,,,
251,accelerate,accelerate,เร่งความเร็ว,VT,เพิ่มความเร็ว,expedite; speed up; quicken,slow; decelerate
252,accelerate,accelerate,เร่งความเร็ว,VI,เพิ่มความเร็ว,,
253,accelerate,accelerate,เร่งให้เกิดขึ้น,VT,,,
254,accelerate,accelerate,เร่งให้เกิดขึ้น,VI,,,
255,acceleration,acceleration,การเพิ่มความเร็ว,N,การเร่ง,speedup; hastening; quickening,
256,acceleration,acceleration,ความเร่ง,N,,,
257,accelerative,accelerative,ที่เกี่ยวกับการเร่งความเร็ว,ADJ,,,
258,accelerator,accelerator,คันเร่ง,N,,,
259,accelerator,accelerator,ตัวเร่ง,N,,atomic accelerator,
260,accent,accent,การเน้น,N,การเน้นหนัก,stress; emphasis; weight,
261,accent,accent,การเน้นเสียง,N,,,
262,accent,accent,การออกเสียงสูงต่ำ (เพื่อแสดงอารมณ์),N,น้ำเสียง,,
263,accent,accent,เครื่องหมายแสดงการเน้นเสียง,N,,,
264,accent,accent,เน้น,VT,,stress,
265,accent,accent,ลงเสียงหนัก,VT,ออกเสียงหนัก,accentuate,
266,accent,accent,ลักษณะเฉพาะ,N,,,
267,accent,accent,สำเนียง,N,,dialect; speech pattern,
268,accent mark,accent mark,เครื่องหมายเน้น,N,,,
269,accentuate,accentuate,ทำให้เด่น,VT,,,
270,accentuate,accentuate,พูดเน้น,VT,"เน้นเสียงหนัก, อ่านเน้น",stress; accent,
271,accept,accept,เชื่อ,VT,ยอมรับว่าจริง,believe; trust; affirm,
272,accept,accept,ต้อนรับ,VT,ยอมรับเข้ากลุ่ม,,
273,accept,accept,ทำให้ผ่านกระบวนการ,VT,,,
274,accept,accept,ยอมทน,VT,,tolerate; bear,
275,accept,accept,ยอมรับการตำหนิ,VT,รับผิดชอบ,,
276,accept,accept,รับ,VT,"ยอมรับ, รับเอามา",take; acquire; admit,refuse; refect
277,accept,accept,รับคำเชิญ,VT,,,
278,accept,accept,รับคำเชิญ,VI,,,
279,accept,accept,รับภาระ,VI,"รับช่วง, รับเอา",,
280,accept,accept,รับภาระ,VT,"รับช่วง, รับเอา",,
281,accept,accept,เห็นด้วย,VT,"เห็นด้วยกับ, ยอมรับ, ยินยอม",,
282,acceptable,acceptable,ซึ่งได้รับการเห็นชอบ,ADJ,,,
283,acceptable,acceptable,ที่ยอมรับได้,ADJ,"สามารถรับได้, ยอมรับได้",agreeable,
284,acceptable,acceptable,ี่น่าพอใจ,ADJ,"น่ายินดี, ซึ่งเป็นที่ยอมรับ",satisfactory,
285,acceptably,acceptably,ยอมรับได้,ADV,,adequately,
286,acceptance,acceptance,การตอบรับ (เช่น ตอบรับเข้าทำงาน),N,การยอมรับ,,
287,acceptance,acceptance,การตอบรับคำเชิญ,N,,,
288,acceptance,acceptance,การเต็มใจเชื่อ,N,,,
289,acceptance,acceptance,การยอมรับเข้ากลุ่ม,N,,,
290,acceptance,acceptance,การรับ,N,การรับเอามา,receiving; taking,
291,acceptance,acceptance,การเห็นพ้องกับ,N,การเห็นด้วยกับ,agreement,
292,acceptance,acceptance,การอดทน,N,"การยอมทน, การทนทาน",,
293,acceptant,acceptant,เต็มใจรับ,ADJ,,receptive,
294,acceptation,acceptation,ความหมาย (ของคำหรือวลี) ที่เป็นที่ยอมรับทั่วกัน,N,,,
295,accepted,accepted,ซึ่งเป็นที่ยอมรับ,ADJ,,conventional; approved,refused; denied; nullified
296,accepted,accepted,ได้มาตรฐาน,ADJ,,,
297,accepted,accepted,ี่ที่ไม่สามารถคัดค้านได้,ADJ,"ที่ไม่สามารถโต้แย้งได้, ที่ไม่สามารถปฏิเสธได้",,
298,acceptor,acceptor,ผู้ที่ยอมรับใบเสร็จ (เพื่อจ่ายเมื่อถึงกำหนด),N,,,
299,access,access,การระเบิดอารมณ์,N,การปะทุของอารมณ์,,
300,access,access,เข้า,VT,เข้าไป,get at; enter,
301,access,access,ได้รับสิทธิ์หรือโอกาสในการใช้,VT,,,
302,access,access,ทางเข้า,N,,entrance; passage; way,
303,access,access,สิทธิ์ในการเข้าพบ,N,,,
304,access,access,สิทธิ์หรือโอกาสในการใช้,N,,,
305,accessible,accessible,ที่สามารถเข้าได้,ADJ,,approachable,
306,accessory,accessory,เครื่องประดับตามสมัยนิยม,N,์,,
307,accessory,accessory,ซึ่งเป็นส่วนเพิ่มเติม,ADJ,์,additional; extra,
308,accessory,accessory,ซึ่งสมรู้ร่วมคิด,ADJ,์,,
309,accessory,accessory,ผู้สมรู้ร่วมคิด,N,์,,
310,accessory,accessory,ส่วนประกอบเพิ่มเติม,N,์อุปกรณ์เพิ่มเติม,accomplice; assistant,
311,accidence,accidence,ไวยากรณ์ที่เกี่ยวกับหน่วยคำเติม (ภาษา),N,,,
312,accident,accident,การตั้งครรภ์โดยไม่ได้เตรียมตัว,N,,,
313,accident,accident,เหตุบังเอิญ,N,,,
314,accident,accident,เหตุร้าย,N,อุปัทวเหตุ,,
315,accident,accident,อุบัติเหตุ,N,,mishap; mischance; collision,
316,accident,accident,โอกาส,N,,chance; adventure,
317,accident insurance,accident insurance,การประกันอุบัติเหตุ,N,,,
318,accidental,accidental,ซึ่งเป็นผลข้างเคียง,ADJ,,,
319,accidental,accidental,โดยบังเอิญ,ADJ,"เป็นการบังเอิญ, โดยไม่ได้ตั้งใจ, เป็นเหตุบังเอิญ, โดยไม่ได้คาดคิด, ซึ่งไม่ได้เจตนา",chance; fortuitous; unintentional,
320,accidental,accidental,ผลข้างเคียง,N,,,
321,accidental,accidental,สิ่งที่เกิดโดยไม่ได้ตั้งใจ,N,สิ่งที่เกิดโดยบังเอิญ,,
322,accidentally,accidentally,โดยบังเอิญ,ADV,โดยไม่ได้คาดคิด,unintentionally; unexpectedly; casually,
323,acclaim,acclaim,สรรเสริญ,VT,,praise; laud; celebrate,
324,acclaim,acclaim,เสียงโห่ร้อง,N,"เสียงแซ่ซ้อง, เสียงตะโกนด้วยความชื่นชม",,
